"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID","geneSymbols"
"mmu00982","Drug metabolism - cytochrome P450 - Mus musculus (house mouse)","4/10","72/10689",3.85440013565295e-07,1.07923203798283e-05,4.05726330068731e-06,4,"71724/11761/14862/243085","Aox3/Aox1/Gstm1/Ugt2b35"
"mmu00980","Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse)","3/10","76/10689",3.99940396083085e-05,0.000540044393925346,0.000203024208242611,3,"13849/14862/243085","Ephx1/Gstm1/Ugt2b35"
"mmu05204","Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)","3/10","90/10689",6.63752308716259e-05,0.000540044393925346,0.000203024208242611,3,"13849/14862/243085","Ephx1/Gstm1/Ugt2b35"
"mmu00983","Drug metabolism - other enzymes - Mus musculus (house mouse)","3/10","96/10689",8.04874605305511e-05,0.000540044393925346,0.000203024208242611,3,"12623/14862/243085","Ces1g/Gstm1/Ugt2b35"
"mmu00830","Retinol metabolism - Mus musculus (house mouse)","3/10","102/10689",9.64364989152404e-05,0.000540044393925346,0.000203024208242611,3,"71724/11761/243085","Aox3/Aox1/Ugt2b35"
"mmu00350","Tyrosine metabolism - Mus musculus (house mouse)","2/10","40/10689",0.000602926659223317,0.00278783504360667,0.00104805828707018,2,"71724/11761","Aox3/Aox1"
"mmu00760","Nicotinate and nicotinamide metabolism - Mus musculus (house mouse)","2/10","43/10689",0.000696958760901667,0.00278783504360667,0.00104805828707018,2,"71724/11761","Aox3/Aox1"
"mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","2/10","52/10689",0.00101885202564879,0.00332423940373457,0.00124971406155435,2,"71724/11761","Aox3/Aox1"
"mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","3/10","231/10689",0.00106850552262897,0.00332423940373457,0.00124971406155435,3,"13849/14862/243085","Ephx1/Gstm1/Ugt2b35"
"mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","2/10","57/10689",0.00122325252884847,0.00342510708077573,0.00128763424089313,2,"71724/11761","Aox3/Aox1"
"mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","2/10","94/10689",0.0032888093684509,0.00837151475605683,0.00314718599851761,2,"21788/20720","Tfpi/Serpine2"
"mmu04976","Bile secretion - Mus musculus (house mouse)","2/10","101/10689",0.00378643714467682,0.00883502000424592,0.00332143609182178,2,"13849/243085","Ephx1/Ugt2b35"
"mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","2/10","171/10689",0.0105236371308314,0.0226662953587139,0.00852116366868943,2,"71724/11761","Aox3/Aox1"
"mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","2/10","229/10689",0.0183612570795636,0.0367225141591271,0.0138054564507997,2,"13849/14862","Ephx1/Gstm1"
