"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"NQO1",40.7890696465932,0.314027819587239,0.230361853736601,1.36319366463469,0.172821483383111,0.285941311074038,"NQO1"
"PTGR1",8631.19161952384,0.290210553733373,0.0824116273584042,3.5214758285413,0.000429151790077196,0.0019690285840877,"PTGR1"
"CYP2A6",22091.9291827953,0.00357581647141006,0.121615117526427,0.029402730056426,0.976543395477258,0.985691481195799,"CYP2A6"
"GSTA1",28844.4154377991,0.217840700958705,0.0929323093987219,2.34407928058765,0.0190741164369155,0.0484791993019213,"GSTA1"
"GSTA2",11804.4766097088,0.294443726192658,0.230396426738702,1.27798738183815,0.201253875412695,0.321074868511363,"GSTA2"
"GSTA3",0.346969468779172,0.397327603472647,0.69542505285113,0.571344966425451,0.567765826316177,0.690543450424017,"GSTA3"
"GSTA5",0.333462027074428,1.41920437657833,0.697279438842494,2.03534522534359,0.0418161485927569,0.092639106823202,"GSTA5"
"GSTP1",310.185810212646,0.00286150923599395,0.128561107950271,0.0222579696271817,0.982242175947038,0.989112244829152,"GSTP1"
"GSTM1",3453.05277859131,-0.0610502190411013,0.756708115322956,-0.0806786894508799,0.935697484913701,0.960897970580072,"GSTM1"
"GSTM3",213.193712576443,-0.400374385629353,0.243751955216794,-1.64254840652769,0.100476402977442,0.187157752188964,"GSTM3"
"MGST1",19288.3442953964,-0.0549110749583944,0.0728542735755838,-0.753711103871293,0.451022712923545,0.587873520072667,"MGST1"
"UGT1A1",1604.3383338917,0.43066801066348,0.220361128275534,1.95437377741588,0.050657029511936,0.108543801781013,"UGT1A1"
"UGT1A4",1974.20467949964,0.0489629006599562,0.168141493316133,0.291200581690434,0.770897917717543,0.8493083459599,"UGT1A4"
"UGT1A8",0.0550902016615304,0.513451192193487,4.01948750932275,0.127740462186434,0.898354368185389,NA,"UGT1A8"
"UGT1A10",0.575714031474982,-0.00898666234297298,0.773650498956778,-0.0116159200505796,0.990732045152829,0.994722609480425,"UGT1A10"
"CES1",49017.9577982041,0.519548395698466,0.0875249694156597,5.93600202510337,2.92056193614544e-09,5.474332760445e-08,"CES1"
"CBR1",2955.73947435893,0.145365629327151,0.096498188801588,1.5064078521312,0.131962506214878,0.231648708881089,"CBR1"
"CBR3",7.27358240553158,0.198793658299308,0.246409157736018,0.806762460152874,0.419803350934492,0.558611725277424,"CBR3"
"PRDX6",7706.45327821141,0.0649430923907529,0.071786491881743,0.904670094448082,0.365640188827852,0.504382323747745,"PRDX6"
"PRDX1",6042.83171804679,0.31238502094571,0.0632284224288722,4.94057907734646,7.78908947970609e-07,7.76166965397204e-06,"PRDX1"
"GCLC",2220.84263196575,-0.0192664610051925,0.0827955455067315,-0.232699245922911,0.815994954809437,0.882238087672196,"GCLC"
"GCLM",585.891565003254,-0.225777169993955,0.122236785817206,-1.84704766641676,0.0647402322401641,0.132373484162951,"GCLM"
"GSR",782.960030943743,0.0285205753659028,0.0469042029211277,0.60806012232767,0.543147599290473,0.669513354980714,"GSR"
"SLC7A11",1.89091124820939,-1.13788203518588,0.439950983416484,-2.58638366108319,0.00969889059185675,0.0276088476806766,"SLC7A11"
"FTL",113199.377580291,0.355436207351837,0.076160737428364,4.6669218202641,3.05745596365007e-06,2.57501624049016e-05,"FTL"
"FTH1",23167.521396208,-0.0109773973154526,0.0950604043148755,-0.115478125667248,0.90806615766408,0.944603730871866,"FTH1"
"HMOX1",948.957243065511,-1.07898060063545,0.137931725732544,-7.82257015131995,5.17555950117984e-15,3.9289554195093e-13,"HMOX1"
"G6PD",70.7456344297399,0.00410016871299485,0.118332664155975,0.0346495090112261,0.972359222697623,0.982784790761519,"G6PD"
"PGD",1321.5882363714,0.509461169007441,0.0886778251343932,5.74507965475406,9.18777248072714e-09,1.52833653586279e-07,"PGD"
"TKT",1288.58482716582,0.348388724082486,0.100622757968176,3.46232533392366,0.000535529388326903,0.00237427032504582,"TKT"
"TALDO1",1841.8986874283,0.212259836177574,0.0655700828456807,3.23714454772198,0.00120732240946408,0.00476903773899233,"TALDO1"
"ME1",363.513461959805,0.643702471272123,0.206497004555097,3.11724846885308,0.00182547647289063,0.00675152903972169,"ME1"
"IDH1",8699.10589285392,0.099982299234631,0.0733293545970734,1.36346896524603,0.17273475890755,0.285854459821145,"IDH1"
"TXN",2159.89095792014,-0.070832027430756,0.0932910464647457,-0.759258579627179,0.447697889900537,0.584871907011019,"TXN"
"SRXN1",0.539643997657394,-1.60438366226625,0.755917231474813,-2.12243298004473,0.0338013951418573,0.0778000413814994,"SRXN1"
"TXNRD1",910.87347026646,0.266451797145878,0.092348408532514,2.88528845683427,0.00391055173645303,0.0128664547971832,"TXNRD1"
